sale_id,customer_id,product_id,store_id,sale_date,amount,discount_applied,region,data_source,last_updated
74,368,55,22,2025-01-26,788.1,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
75,949,15,26,2024-11-16,478.36,4.8,North America,CRM_SYSTEM,2025-07-07 23:20:13
76,461,99,22,2024-07-11,831.33,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
77,876,17,4,2025-04-02,614.29,4.37,Europe,CRM_SYSTEM,2025-07-07 23:20:13
78,202,98,32,2025-01-10,629.17,0.72,Asia,CRM_SYSTEM,2025-07-07 23:20:13
79,760,87,11,2024-10-12,891.74,15.67,Asia,CRM_SYSTEM,2025-07-07 23:20:13
80,967,95,48,2024-12-25,543.56,12.89,Europe,CRM_SYSTEM,2025-07-07 23:20:13
81,275,89,47,2025-01-16,725.75,5.66,Asia,CRM_SYSTEM,2025-07-07 23:20:13
82,518,57,6,2024-09-17,272.19,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
83,726,52,4,2025-05-29,556.32,13.68,Asia,CRM_SYSTEM,2025-07-07 23:20:13
84,362,84,22,2025-03-06,528.66,0.93,North America,CRM_SYSTEM,2025-07-07 23:20:13
85,657,97,47,2025-06-14,596.18,5.86,North America,CRM_SYSTEM,2025-07-07 23:20:13
86,425,88,2,2024-07-16,600.48,7.63,North America,CRM_SYSTEM,2025-07-07 23:20:13
87,474,16,3,2025-06-24,824.26,13.0,Asia,CRM_SYSTEM,2025-07-07 23:20:13
88,883,59,12,2025-03-23,68.67,9.74,North America,CRM_SYSTEM,2025-07-07 23:20:13
89,660,24,37,2025-07-05,974.19,13.14,Europe,CRM_SYSTEM,2025-07-07 23:20:13
90,763,23,41,2025-02-10,471.19,13.25,North America,CRM_SYSTEM,2025-07-07 23:20:13
91,18,74,26,2025-06-20,39.99,5.2,Europe,CRM_SYSTEM,2025-07-07 23:20:13
92,405,91,1,2024-08-10,368.16,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
93,522,79,47,2024-07-13,232.44,9.39,Asia,CRM_SYSTEM,2025-07-07 23:20:13
94,77,62,45,2024-09-15,835.04,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
95,334,14,21,2024-08-16,122.08,7.87,Asia,CRM_SYSTEM,2025-07-07 23:20:13
96,665,91,4,2024-08-07,698.36,9.28,North America,CRM_SYSTEM,2025-07-07 23:20:13
97,468,22,49,2025-05-14,620.45,18.43,Asia,CRM_SYSTEM,2025-07-07 23:20:13
98,562,89,1,2025-02-19,519.74,13.19,Europe,CRM_SYSTEM,2025-07-07 23:20:13
99,462,61,12,2025-04-14,727.17,10.01,Asia,CRM_SYSTEM,2025-07-07 23:20:13
100,302,89,47,2025-03-10,911.6,12.27,Asia,CRM_SYSTEM,2025-07-07 23:20:13
101,442,2,43,2024-12-02,204.56,16.5,North America,CRM_SYSTEM,2025-07-07 23:20:13
102,904,38,2,2024-11-26,517.25,8.28,Asia,CRM_SYSTEM,2025-07-07 23:20:13
103,448,65,38,2024-12-16,169.55,13.17,North America,CRM_SYSTEM,2025-07-07 23:20:13
104,311,75,37,2025-04-22,808.34,2.84,North America,CRM_SYSTEM,2025-07-07 23:20:13
105,191,58,41,2024-08-18,269.29,,North America,CRM_SYSTEM,2025-07-07 23:20:13
106,755,16,37,2024-09-24,21.54,,North America,CRM_SYSTEM,2025-07-07 23:20:13
107,991,44,39,2025-06-20,349.52,0.96,North America,CRM_SYSTEM,2025-07-07 23:20:13
108,597,54,24,2025-02-17,906.62,8.8,Asia,CRM_SYSTEM,2025-07-07 23:20:13
109,44,19,7,2025-01-03,43.58,0.73,Europe,CRM_SYSTEM,2025-07-07 23:20:13
110,701,32,32,2025-02-08,441.27,15.81,Europe,CRM_SYSTEM,2025-07-07 23:20:13
111,244,45,31,2025-02-13,502.67,1.61,Europe,CRM_SYSTEM,2025-07-07 23:20:13
112,940,48,35,2024-10-20,167.06,10.91,Europe,CRM_SYSTEM,2025-07-07 23:20:13
113,407,40,20,2025-03-21,50.75,17.67,North America,CRM_SYSTEM,2025-07-07 23:20:13
114,433,20,12,2025-06-14,852.49,10.73,Asia,CRM_SYSTEM,2025-07-07 23:20:13
115,623,60,14,2024-08-22,664.8,6.18,North America,CRM_SYSTEM,2025-07-07 23:20:13
116,1000,15,46,2024-11-26,158.59,15.18,Asia,CRM_SYSTEM,2025-07-07 23:20:13
117,541,51,7,2024-08-07,435.01,13.25,Europe,CRM_SYSTEM,2025-07-07 23:20:13
118,988,2,39,2024-07-31,256.75,8.07,Europe,CRM_SYSTEM,2025-07-07 23:20:13
119,386,62,1,2024-10-12,700.03,15.27,North America,CRM_SYSTEM,2025-07-07 23:20:13
120,946,55,1,2024-08-23,861.21,,North America,CRM_SYSTEM,2025-07-07 23:20:13
121,139,28,24,2025-06-28,829.0,,North America,CRM_SYSTEM,2025-07-07 23:20:13
122,531,65,15,2025-03-07,554.09,11.19,Europe,CRM_SYSTEM,2025-07-07 23:20:13
123,703,42,48,2024-10-31,756.77,,North America,CRM_SYSTEM,2025-07-07 23:20:13
124,712,83,28,2024-08-10,200.52,2.51,Asia,CRM_SYSTEM,2025-07-07 23:20:13
125,619,99,7,2024-09-18,876.24,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
126,142,42,15,2025-05-04,854.92,9.14,Europe,CRM_SYSTEM,2025-07-07 23:20:13
127,196,87,11,2025-03-28,808.87,,North America,CRM_SYSTEM,2025-07-07 23:20:13
128,865,54,40,2024-10-25,300.48,19.59,Asia,CRM_SYSTEM,2025-07-07 23:20:13
129,446,56,1,2024-09-09,622.01,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
130,732,96,43,2024-09-11,44.15,13.94,Asia,CRM_SYSTEM,2025-07-07 23:20:13
131,538,12,33,2025-06-18,101.8,12.29,Asia,CRM_SYSTEM,2025-07-07 23:20:13
132,747,69,9,2025-01-09,753.27,14.78,North America,CRM_SYSTEM,2025-07-07 23:20:13
133,627,39,46,2025-02-13,542.69,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
134,572,2,23,2025-02-19,998.65,17.04,Europe,CRM_SYSTEM,2025-07-07 23:20:13
135,532,80,47,2024-09-26,145.9,0.52,North America,CRM_SYSTEM,2025-07-07 23:20:13
136,698,74,36,2025-03-08,679.06,14.71,Europe,CRM_SYSTEM,2025-07-07 23:20:13
137,135,9,20,2024-11-04,557.24,,North America,CRM_SYSTEM,2025-07-07 23:20:13
138,396,60,33,2024-11-20,513.29,15.3,Asia,CRM_SYSTEM,2025-07-07 23:20:13
139,356,12,9,2024-09-03,540.31,12.42,North America,CRM_SYSTEM,2025-07-07 23:20:13
140,944,73,5,2024-08-22,50.99,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
141,833,90,13,2024-10-19,693.15,15.83,Europe,CRM_SYSTEM,2025-07-07 23:20:13
142,218,21,12,2025-04-16,189.1,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
143,54,7,17,2025-03-19,687.42,1.31,Asia,CRM_SYSTEM,2025-07-07 23:20:13
144,362,46,39,2024-11-24,115.58,12.34,Asia,CRM_SYSTEM,2025-07-07 23:20:13
145,798,14,7,2024-12-07,371.98,16.48,Asia,CRM_SYSTEM,2025-07-07 23:20:13
146,380,11,40,2025-04-10,133.97,2.78,North America,CRM_SYSTEM,2025-07-07 23:20:13
147,223,21,27,2025-03-22,876.94,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
148,414,96,10,2025-04-05,984.0,16.67,Europe,CRM_SYSTEM,2025-07-07 23:20:13
149,737,65,6,2025-05-19,223.16,1.14,Europe,CRM_SYSTEM,2025-07-07 23:20:13
150,592,75,42,2024-09-17,908.19,3.65,Asia,CRM_SYSTEM,2025-07-07 23:20:13
151,13,42,31,2024-09-04,920.77,14.23,North America,CRM_SYSTEM,2025-07-07 23:20:13
152,340,81,35,2025-03-24,274.82,6.4,North America,CRM_SYSTEM,2025-07-07 23:20:13
153,225,4,10,2025-02-27,101.79,19.61,Asia,CRM_SYSTEM,2025-07-07 23:20:13
154,548,36,4,2025-06-08,744.62,6.81,Asia,CRM_SYSTEM,2025-07-07 23:20:13
155,16,79,23,2025-02-19,104.34,18.63,North America,CRM_SYSTEM,2025-07-07 23:20:13
156,285,29,7,2025-05-19,928.84,14.44,North America,CRM_SYSTEM,2025-07-07 23:20:13
157,527,97,2,2025-03-13,318.89,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
158,536,56,35,2024-10-09,364.59,15.47,Asia,CRM_SYSTEM,2025-07-07 23:20:13
159,533,25,18,2025-04-28,538.16,12.17,North America,CRM_SYSTEM,2025-07-07 23:20:13
160,81,9,8,2024-09-25,349.2,11.11,North America,CRM_SYSTEM,2025-07-07 23:20:13
161,950,72,42,2025-05-11,541.51,1.36,Asia,CRM_SYSTEM,2025-07-07 23:20:13
162,896,85,4,2025-05-22,928.89,3.15,North America,CRM_SYSTEM,2025-07-07 23:20:13
163,329,47,47,2024-07-15,889.19,2.24,Asia,CRM_SYSTEM,2025-07-07 23:20:13
164,39,25,49,2025-03-02,157.5,9.53,North America,CRM_SYSTEM,2025-07-07 23:20:13
165,309,88,41,2025-02-18,571.69,14.93,Europe,CRM_SYSTEM,2025-07-07 23:20:13
166,371,31,42,2025-05-18,303.49,0.52,Asia,CRM_SYSTEM,2025-07-07 23:20:13
167,680,6,43,2024-07-24,422.01,2.15,Asia,CRM_SYSTEM,2025-07-07 23:20:13
168,614,27,13,2024-08-25,539.86,17.28,Europe,CRM_SYSTEM,2025-07-07 23:20:13
169,377,85,41,2024-11-03,41.91,3.2,North America,CRM_SYSTEM,2025-07-07 23:20:13
170,193,96,38,2025-06-23,260.33,15.85,Europe,CRM_SYSTEM,2025-07-07 23:20:13
171,327,17,46,2024-09-11,694.97,7.87,North America,CRM_SYSTEM,2025-07-07 23:20:13
172,55,23,11,2025-04-10,916.95,4.43,Europe,CRM_SYSTEM,2025-07-07 23:20:13
173,485,81,8,2025-03-08,550.4,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
174,173,28,42,2024-11-08,772.61,8.47,Europe,CRM_SYSTEM,2025-07-07 23:20:13
175,366,57,41,2025-02-23,323.47,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
176,473,34,25,2024-07-09,104.77,,North America,CRM_SYSTEM,2025-07-07 23:20:13
177,489,46,24,2025-01-12,674.8,8.25,Asia,CRM_SYSTEM,2025-07-07 23:20:13
178,415,34,17,2025-06-22,781.15,10.32,Europe,CRM_SYSTEM,2025-07-07 23:20:13
179,769,77,3,2024-09-15,98.36,10.46,Asia,CRM_SYSTEM,2025-07-07 23:20:13
180,786,10,22,2024-10-17,167.8,7.28,North America,CRM_SYSTEM,2025-07-07 23:20:13
181,614,12,48,2024-07-21,759.99,0.87,North America,CRM_SYSTEM,2025-07-07 23:20:13
182,965,14,34,2024-08-13,803.77,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
183,812,87,31,2025-04-18,661.49,,North America,CRM_SYSTEM,2025-07-07 23:20:13
184,950,9,38,2024-10-01,494.74,14.49,Europe,CRM_SYSTEM,2025-07-07 23:20:13
185,679,82,23,2024-07-15,501.71,8.88,Europe,CRM_SYSTEM,2025-07-07 23:20:13
186,457,46,38,2025-06-25,657.68,19.64,Europe,CRM_SYSTEM,2025-07-07 23:20:13
187,226,98,30,2024-12-29,938.48,3.85,Asia,CRM_SYSTEM,2025-07-07 23:20:13
188,998,18,10,2025-01-05,741.86,,North America,CRM_SYSTEM,2025-07-07 23:20:13
189,32,41,48,2024-07-24,780.53,0.4,North America,CRM_SYSTEM,2025-07-07 23:20:13
190,847,6,42,2024-09-15,849.31,19.3,North America,CRM_SYSTEM,2025-07-07 23:20:13
191,643,47,29,2024-08-19,318.21,6.6,Europe,CRM_SYSTEM,2025-07-07 23:20:13
192,955,48,9,2025-04-07,64.84,12.7,North America,CRM_SYSTEM,2025-07-07 23:20:13
193,362,65,12,2025-06-14,700.15,,North America,CRM_SYSTEM,2025-07-07 23:20:13
194,138,9,17,2024-07-19,253.69,1.48,Asia,CRM_SYSTEM,2025-07-07 23:20:13
195,847,41,36,2025-04-28,651.97,10.62,Asia,CRM_SYSTEM,2025-07-07 23:20:13
196,203,61,22,2024-12-24,470.03,17.37,Europe,CRM_SYSTEM,2025-07-07 23:20:13
197,9,22,4,2025-01-03,218.47,1.16,Europe,CRM_SYSTEM,2025-07-07 23:20:13
198,596,39,20,2024-10-23,853.66,12.69,Asia,CRM_SYSTEM,2025-07-07 23:20:13
199,707,19,47,2024-09-24,266.84,15.78,North America,CRM_SYSTEM,2025-07-07 23:20:13
200,95,28,49,2024-09-01,327.9,15.94,Europe,CRM_SYSTEM,2025-07-07 23:20:13
201,588,18,38,2024-12-25,309.42,17.56,Europe,CRM_SYSTEM,2025-07-07 23:20:13
202,227,59,22,2025-05-22,478.92,10.63,Europe,CRM_SYSTEM,2025-07-07 23:20:13
203,324,64,45,2025-04-06,445.46,4.97,Asia,CRM_SYSTEM,2025-07-07 23:20:13
204,901,78,36,2025-02-18,174.22,14.62,North America,CRM_SYSTEM,2025-07-07 23:20:13
205,863,91,3,2024-08-29,163.41,17.79,North America,CRM_SYSTEM,2025-07-07 23:20:13
206,917,23,22,2024-09-03,495.79,11.85,Asia,CRM_SYSTEM,2025-07-07 23:20:13
207,423,95,45,2024-08-16,936.53,4.03,Europe,CRM_SYSTEM,2025-07-07 23:20:13
208,401,33,16,2024-07-28,257.98,14.66,Asia,CRM_SYSTEM,2025-07-07 23:20:13
209,552,35,38,2024-08-03,219.91,17.47,North America,CRM_SYSTEM,2025-07-07 23:20:13
210,517,2,7,2025-01-18,976.98,4.68,Europe,CRM_SYSTEM,2025-07-07 23:20:13
211,693,28,11,2024-10-15,85.14,12.74,Asia,CRM_SYSTEM,2025-07-07 23:20:13
212,88,94,18,2024-10-12,431.51,,North America,CRM_SYSTEM,2025-07-07 23:20:13
213,555,17,48,2025-05-20,547.73,2.69,Asia,CRM_SYSTEM,2025-07-07 23:20:13
214,32,72,46,2025-05-10,136.44,11.34,Europe,CRM_SYSTEM,2025-07-07 23:20:13
215,545,35,21,2025-03-07,94.48,1.29,Asia,CRM_SYSTEM,2025-07-07 23:20:13
216,169,47,19,2025-05-30,473.64,3.86,North America,CRM_SYSTEM,2025-07-07 23:20:13
217,686,95,36,2024-10-22,324.44,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
218,737,57,14,2025-04-17,125.92,14.09,North America,CRM_SYSTEM,2025-07-07 23:20:13
219,300,54,30,2024-12-30,917.78,16.88,Asia,CRM_SYSTEM,2025-07-07 23:20:13
220,174,86,49,2025-04-06,708.37,2.39,Europe,CRM_SYSTEM,2025-07-07 23:20:13
221,18,99,18,2025-03-14,203.86,,North America,CRM_SYSTEM,2025-07-07 23:20:13
222,613,79,2,2025-03-10,147.83,19.43,Europe,CRM_SYSTEM,2025-07-07 23:20:13
223,715,73,38,2025-01-21,164.86,2.88,Europe,CRM_SYSTEM,2025-07-07 23:20:13
224,976,81,5,2024-07-15,308.68,17.7,North America,CRM_SYSTEM,2025-07-07 23:20:13
225,485,96,45,2024-11-29,565.48,4.93,North America,CRM_SYSTEM,2025-07-07 23:20:13
226,889,37,29,2025-01-03,232.09,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
227,719,8,2,2025-01-10,89.51,5.33,Europe,CRM_SYSTEM,2025-07-07 23:20:13
228,593,4,49,2024-12-05,624.51,17.05,North America,CRM_SYSTEM,2025-07-07 23:20:13
229,313,23,20,2025-06-10,140.55,10.24,Europe,CRM_SYSTEM,2025-07-07 23:20:13
230,767,90,27,2025-05-13,781.28,12.99,North America,CRM_SYSTEM,2025-07-07 23:20:13
231,517,98,38,2025-03-10,576.52,8.86,North America,CRM_SYSTEM,2025-07-07 23:20:13
232,813,43,14,2024-11-06,714.91,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
233,232,38,12,2024-12-24,931.7,,North America,CRM_SYSTEM,2025-07-07 23:20:13
234,126,73,16,2025-04-20,575.71,6.97,North America,CRM_SYSTEM,2025-07-07 23:20:13
235,421,48,29,2024-11-19,511.97,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
236,588,77,2,2024-12-24,654.76,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
237,286,64,47,2025-05-04,348.3,19.79,North America,CRM_SYSTEM,2025-07-07 23:20:13
238,932,99,43,2024-11-25,571.1,10.04,Europe,CRM_SYSTEM,2025-07-07 23:20:13
239,8,13,20,2024-08-23,932.21,13.99,Asia,CRM_SYSTEM,2025-07-07 23:20:13
240,644,25,30,2024-10-22,393.71,4.08,North America,CRM_SYSTEM,2025-07-07 23:20:13
241,953,30,26,2025-04-05,840.48,12.25,Europe,CRM_SYSTEM,2025-07-07 23:20:13
242,655,6,14,2024-11-14,715.85,,North America,CRM_SYSTEM,2025-07-07 23:20:13
243,172,51,45,2025-06-13,518.42,13.62,Europe,CRM_SYSTEM,2025-07-07 23:20:13
244,329,88,25,2024-09-17,194.59,16.69,Europe,CRM_SYSTEM,2025-07-07 23:20:13
245,674,29,4,2024-08-09,571.32,13.97,Asia,CRM_SYSTEM,2025-07-07 23:20:13
246,712,63,5,2024-09-14,117.72,6.34,Europe,CRM_SYSTEM,2025-07-07 23:20:13
247,708,87,42,2024-09-19,957.4,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
248,738,54,19,2024-09-10,470.75,6.67,Europe,CRM_SYSTEM,2025-07-07 23:20:13
249,586,17,4,2024-09-01,265.67,0.54,Asia,CRM_SYSTEM,2025-07-07 23:20:13
250,445,76,17,2024-12-26,705.02,14.85,Europe,CRM_SYSTEM,2025-07-07 23:20:13
251,685,84,12,2025-01-03,69.48,1.38,Europe,CRM_SYSTEM,2025-07-07 23:20:13
252,430,42,13,2024-09-13,820.89,,North America,CRM_SYSTEM,2025-07-07 23:20:13
253,397,64,47,2024-11-24,189.68,13.32,Europe,CRM_SYSTEM,2025-07-07 23:20:13
254,257,25,18,2024-10-28,292.42,16.9,North America,CRM_SYSTEM,2025-07-07 23:20:13
255,990,79,46,2024-08-24,406.66,2.46,Asia,CRM_SYSTEM,2025-07-07 23:20:13
256,25,1,11,2025-07-03,218.06,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
257,510,42,8,2025-05-31,201.95,13.98,Europe,CRM_SYSTEM,2025-07-07 23:20:13
258,356,1,14,2025-06-20,258.15,9.01,Asia,CRM_SYSTEM,2025-07-07 23:20:13
259,69,24,33,2024-12-18,739.98,0.84,Europe,CRM_SYSTEM,2025-07-07 23:20:13
260,74,29,31,2025-03-28,149.09,4.51,North America,CRM_SYSTEM,2025-07-07 23:20:13
261,427,87,36,2024-10-08,14.46,17.82,North America,CRM_SYSTEM,2025-07-07 23:20:13
262,786,14,40,2024-11-29,665.95,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
263,708,36,6,2025-01-17,295.3,14.73,Europe,CRM_SYSTEM,2025-07-07 23:20:13
264,194,74,44,2025-05-22,255.86,9.11,North America,CRM_SYSTEM,2025-07-07 23:20:13
265,225,57,14,2024-09-18,43.43,8.13,Asia,CRM_SYSTEM,2025-07-07 23:20:13
266,15,80,22,2024-11-07,616.49,14.89,North America,CRM_SYSTEM,2025-07-07 23:20:13
267,84,6,3,2025-06-30,818.21,1.55,Asia,CRM_SYSTEM,2025-07-07 23:20:13
268,960,45,48,2024-08-09,240.89,12.81,Asia,CRM_SYSTEM,2025-07-07 23:20:13
269,446,19,17,2024-08-09,646.0,5.2,North America,CRM_SYSTEM,2025-07-07 23:20:13
270,442,31,23,2024-07-24,664.17,12.93,North America,CRM_SYSTEM,2025-07-07 23:20:13
271,280,30,24,2025-03-15,116.19,2.47,Asia,CRM_SYSTEM,2025-07-07 23:20:13
272,257,15,26,2024-09-15,860.24,5.03,Europe,CRM_SYSTEM,2025-07-07 23:20:13
273,21,86,35,2025-02-17,406.66,19.25,Europe,CRM_SYSTEM,2025-07-07 23:20:13
274,160,4,38,2024-08-16,615.01,,North America,CRM_SYSTEM,2025-07-07 23:20:13
275,402,4,3,2024-10-11,426.25,,North America,CRM_SYSTEM,2025-07-07 23:20:13
276,226,94,40,2024-12-16,129.09,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
277,559,25,42,2024-11-02,266.65,12.5,Asia,CRM_SYSTEM,2025-07-07 23:20:13
278,508,58,47,2025-02-09,945.11,3.51,Europe,CRM_SYSTEM,2025-07-07 23:20:13
